"UF de residência",Resultados,"Nº de exames realizados"
"São Paulo","Negativo / Não Detectável",866
"São Paulo","Positivo / Detectável",364
"São Paulo","Inconclusivo / Indeterminado",40
Pernambuco,"Positivo / Detectável",526
Pernambuco,"Negativo / Não Detectável",479
Pernambuco,"Inconclusivo / Indeterminado",8
"Rio de Janeiro","Positivo / Detectável",514
"Rio de Janeiro","Negativo / Não Detectável",226
"Rio de Janeiro","Inconclusivo / Indeterminado",36
"Minas Gerais","Negativo / Não Detectável",721
"Minas Gerais","Positivo / Detectável",25
"Minas Gerais","Inconclusivo / Indeterminado",1
"Paraná","Negativo / Não Detectável",694
"Paraná","Positivo / Detectável",38
Bahia,"Negativo / Não Detectável",402
Bahia,"Positivo / Detectável",68
Amazonas,"Positivo / Detectável",273
Amazonas,"Negativo / Não Detectável",165
Amazonas,"Inconclusivo / Indeterminado",2
"Espírito Santo","Negativo / Não Detectável",278
"Espírito Santo","Positivo / Detectável",117
"Espírito Santo","Inconclusivo / Indeterminado",3
"Ceará","Positivo / Detectável",193
"Ceará","Negativo / Não Detectável",158
"Ceará","Inconclusivo / Indeterminado",13
"Amapá","Negativo / Não Detectável",245
"Amapá","Positivo / Detectável",114
"Maranhão","Positivo / Detectável",167
"Maranhão","Negativo / Não Detectável",122
"Santa Catarina","Negativo / Não Detectável",242
"Santa Catarina","Positivo / Detectável",29
"Rio Grande do Sul","Negativo / Não Detectável",222
"Rio Grande do Sul","Positivo / Detectável",14
"Pará","Positivo / Detectável",114
"Pará","Negativo / Não Detectável",84
"Pará","Inconclusivo / Indeterminado",2
"Mato Grosso do Sul","Negativo / Não Detectável",155
"Mato Grosso do Sul","Positivo / Detectável",15
"Goiás","Negativo / Não Detectável",153
"Goiás","Positivo / Detectável",12
"Goiás","Inconclusivo / Indeterminado",1
"Rio Grande do Norte","Negativo / Não Detectável",77
"Rio Grande do Norte","Positivo / Detectável",35
"Rio Grande do Norte","Inconclusivo / Indeterminado",2
Acre,"Negativo / Não Detectável",73
Acre,"Positivo / Detectável",26
"Piauí","Negativo / Não Detectável",87
"Piauí","Positivo / Detectável",10
"Rondônia","Negativo / Não Detectável",87
"Rondônia","Positivo / Detectável",9
"Mato Grosso","Negativo / Não Detectável",88
"Mato Grosso","Positivo / Detectável",4
Alagoas,"Negativo / Não Detectável",42
Alagoas,"Positivo / Detectável",12
Alagoas,"Inconclusivo / Indeterminado",3
"Paraíba","Negativo / Não Detectável",30
"Paraíba","Positivo / Detectável",18
Sergipe,"Negativo / Não Detectável",36
Sergipe,"Positivo / Detectável",4
Roraima,"Negativo / Não Detectável",10
Roraima,"Positivo / Detectável",10
Tocantins,"Negativo / Não Detectável",14
Tocantins,"Positivo / Detectável",5
"Distrito Federal","Negativo / Não Detectável",15
"Distrito Federal","Positivo / Detectável",1
