"UF de residência",Resultados,"Nº de exames realizados"
"Paraná","Negativo / Não Detectável","5.449"
"Paraná","Positivo / Detectável","1.797"
"Paraná","Inconclusivo / Indeterminado",1
"São Paulo","Negativo / Não Detectável","4.850"
"São Paulo","Positivo / Detectável","2.276"
"São Paulo","Inconclusivo / Indeterminado",17
Bahia,"Negativo / Não Detectável","1.829"
Bahia,"Positivo / Detectável",918
Bahia,"Inconclusivo / Indeterminado",5
"Rio Grande do Sul","Negativo / Não Detectável","1.742"
"Rio Grande do Sul","Positivo / Detectável",546
"Rio Grande do Sul","Inconclusivo / Indeterminado",1
Pernambuco,"Negativo / Não Detectável","1.706"
Pernambuco,"Positivo / Detectável",289
Pernambuco,"Inconclusivo / Indeterminado",2
"Minas Gerais","Negativo / Não Detectável","1.259"
"Minas Gerais","Positivo / Detectável",429
"Minas Gerais","Inconclusivo / Indeterminado",40
"Ceará","Negativo / Não Detectável","1.375"
"Ceará","Positivo / Detectável",318
"Santa Catarina","Negativo / Não Detectável","1.317"
"Santa Catarina","Positivo / Detectável",356
"Santa Catarina","Inconclusivo / Indeterminado",5
"Rio de Janeiro","Negativo / Não Detectável","1.058"
"Rio de Janeiro","Positivo / Detectável",376
"Rio de Janeiro","Inconclusivo / Indeterminado",14
"Mato Grosso do Sul","Negativo / Não Detectável",931
"Mato Grosso do Sul","Positivo / Detectável",466
"Mato Grosso do Sul","Inconclusivo / Indeterminado",3
"Goiás","Negativo / Não Detectável",825
"Goiás","Positivo / Detectável",340
"Rio Grande do Norte","Negativo / Não Detectável",815
"Rio Grande do Norte","Positivo / Detectável",179
"Rio Grande do Norte","Inconclusivo / Indeterminado",2
"Rondônia","Negativo / Não Detectável",633
"Rondônia","Positivo / Detectável",345
"Rondônia","Inconclusivo / Indeterminado",4
Tocantins,"Positivo / Detectável",450
Tocantins,"Negativo / Não Detectável",385
Sergipe,"Negativo / Não Detectável",687
Sergipe,"Positivo / Detectável",137
"Espírito Santo","Negativo / Não Detectável",590
"Espírito Santo","Positivo / Detectável",217
"Espírito Santo","Inconclusivo / Indeterminado",9
"Piauí","Negativo / Não Detectável",456
"Piauí","Positivo / Detectável",221
"Pará","Negativo / Não Detectável",326
"Pará","Positivo / Detectável",70
"Pará","Inconclusivo / Indeterminado",5
"Maranhão","Negativo / Não Detectável",192
"Maranhão","Positivo / Detectável",47
Amazonas,"Negativo / Não Detectável",165
Amazonas,"Positivo / Detectável",43
"Paraíba","Negativo / Não Detectável",145
"Paraíba","Positivo / Detectável",46
Alagoas,"Negativo / Não Detectável",163
Alagoas,"Positivo / Detectável",14
Acre,"Negativo / Não Detectável",113
Acre,"Positivo / Detectável",22
"Mato Grosso","Negativo / Não Detectável",117
"Mato Grosso","Positivo / Detectável",14
Roraima,"Negativo / Não Detectável",64
Roraima,"Positivo / Detectável",20
"Amapá","Negativo / Não Detectável",62
"Amapá","Positivo / Detectável",6
"Distrito Federal","Negativo / Não Detectável",12
"Distrito Federal","Positivo / Detectável",6
