"UF de residência","Vírus","Nº de vírus identificados"
"Rio de Janeiro","Coronavirus SARS-CoV2",351
"São Paulo","Coronavirus SARS-CoV2",347
"São Paulo","Influenza B",1
Pernambuco,"Coronavirus SARS-CoV2",185
Pernambuco,"Influenza A",2
Amazonas,"Coronavirus SARS-CoV2",155
"Ceará","Coronavirus SARS-CoV2",105
"Maranhão","Coronavirus SARS-CoV2",92
"Pará","Coronavirus SARS-CoV2",56
"Pará","Influenza A",3
"Espírito Santo","Coronavirus SARS-CoV2",52
"Espírito Santo","Virus Sincicial Respiratorio",1
"Paraná","Coronavirus SARS-CoV2",29
"Paraná",Rinovirus,6
"Paraná",Metapneumovirus,2
"Paraná",Adenovirus,1
"Paraná","Influenza B",1
Bahia,"Coronavirus SARS-CoV2",33
Bahia,"Influenza A",2
Bahia,Enterovirus,1
"Santa Catarina","Coronavirus SARS-CoV2",33
"Amapá","Coronavirus SARS-CoV2",25
"Rio Grande do Norte","Coronavirus SARS-CoV2",17
"Minas Gerais","Coronavirus SARS-CoV2",14
"Minas Gerais","Virus Sincicial Respiratorio",1
"Rio Grande do Sul","Coronavirus SARS-CoV2",13
"Mato Grosso do Sul","Coronavirus SARS-CoV2",6
"Mato Grosso do Sul",Adenovirus,4
"Mato Grosso do Sul","Influenza A",1
"Piauí",Metapneumovirus,5
"Piauí","Coronavirus SARS-CoV2",4
"Piauí","Influenza A",1
"Piauí","Parainfluenza tipo 1",1
"Goiás",Metapneumovirus,6
"Goiás","Coronavirus SARS-CoV2",3
Acre,"Coronavirus SARS-CoV2",6
Roraima,"Coronavirus SARS-CoV2",3
Roraima,"Influenza B",2
Roraima,"Virus Sincicial Respiratorio",1
Alagoas,"Coronavirus SARS-CoV2",5
"Rondônia","Coronavirus SARS-CoV2",3
"Rondônia","Influenza A",1
"Rondônia","Influenza B",1
Sergipe,"Coronavirus SARS-CoV2",4
"Paraíba","Coronavirus SARS-CoV2",3
"Mato Grosso","Coronavirus SARS-CoV2",2
Tocantins,"Influenza B",1
