"UF de residência","Vírus","Nº de vírus identificados"
"São Paulo","Coronavirus SARS-CoV2","2.255"
"Paraná","Coronavirus SARS-CoV2","1.836"
"Paraná",Rinovirus,7
"Paraná",Adenovirus,1
"Paraná",Metapneumovirus,1
Bahia,"Coronavirus SARS-CoV2",832
Bahia,Rinovirus,7
"Rio Grande do Sul","Coronavirus SARS-CoV2",533
"Minas Gerais","Coronavirus SARS-CoV2",507
"Rio de Janeiro","Coronavirus SARS-CoV2",505
"Mato Grosso do Sul","Coronavirus SARS-CoV2",373
"Ceará","Coronavirus SARS-CoV2",364
Tocantins,"Coronavirus SARS-CoV2",318
"Santa Catarina","Coronavirus SARS-CoV2",312
"Espírito Santo","Coronavirus SARS-CoV2",255
Pernambuco,"Coronavirus SARS-CoV2",245
"Rondônia","Coronavirus SARS-CoV2",238
"Goiás","Coronavirus SARS-CoV2",169
"Rio Grande do Norte","Coronavirus SARS-CoV2",142
Sergipe,"Coronavirus SARS-CoV2",102
"Piauí","Coronavirus SARS-CoV2",96
"Paraíba","Coronavirus SARS-CoV2",75
"Pará","Coronavirus SARS-CoV2",65
Amazonas,"Coronavirus SARS-CoV2",61
Acre,"Coronavirus SARS-CoV2",28
"Maranhão","Coronavirus SARS-CoV2",25
"Mato Grosso","Coronavirus SARS-CoV2",25
Roraima,"Coronavirus SARS-CoV2",17
Alagoas,"Coronavirus SARS-CoV2",13
"Distrito Federal","Coronavirus SARS-CoV2",8
"Amapá","Coronavirus SARS-CoV2",1
